RequestorID,Entry_date,Behavior,Reputation,Like_list_len,Block_list_len,ratings,mid_thres,low_thre
1,0,69,0.526334402717447,590,219,26495,46,20
2,0,42,0.1254915135743803,858,211,25747,21,20
3,0,9,-1.0,1,0,1,29,20
4,0,30,-0.13676882484268285,604,147,29562,44,14
5,0,63,0.3875268420345667,727,199,29804,33,18
6,0,16,-0.3516492763378788,737,219,14855,32,20
7,0,1,-1.0,1,0,1,44,12
8,0,10,-1.0,1,0,1,25,18
9,0,28,-0.1888477034649163,819,108,27302,24,10
10,0,42,0.12701234227399397,642,185,29006,41,17
11,0,16,-1.0,1,0,1,24,14
12,0,51,0.32999999999993623,843,169,31303,23,16
13,0,50,0.2963487218618292,714,213,28831,34,19
14,0,84,0.8558687424738218,761,126,23252,29,12
15,0,98,1.0,847,144,29051,24,14
16,0,9,-1.0,0,0,1,49,17
17,0,39,0.04768670309653932,791,108,26352,23,10
18,0,37,0.0004610471691836871,726,223,30062,33,20
19,0,70,0.5554846316798794,803,109,25019,25,10
20,0,64,0.41845170305671175,545,131,28625,48,13
21,0,47,0.2330633655056245,606,203,26213,45,18
22,0,11,-1.0,1,0,1,38,11
23,0,37,-0.00015158474965548918,830,219,28301,22,20
24,0,13,-1.0,1,0,1,22,13
25,0,86,0.9001356183359639,598,214,31043,46,19
26,0,10,-1.0,0,1,1,37,16
27,0,55,0.32999999999993923,574,147,23537,44,15
28,0,99,1.0,589,129,26339,46,12
29,0,26,-0.23356801330464955,817,180,28862,23,17
30,0,12,-1.0,1,0,1,23,16
31,0,16,-1.0,1,0,1,38,12
32,0,18,-1.0,1,0,1,22,15
33,0,30,-0.1376027419511825,546,159,30781,50,15
34,0,85,0.8779451486344643,763,135,26508,29,13
35,0,30,-0.13782274796393337,831,151,32293,26,14
36,0,35,-0.03693876135654506,638,159,28838,42,15
37,0,99,1.0,869,227,27543,22,20
38,0,37,7.503654377131719e-05,795,202,30785,29,18
39,0,29,-0.1607887161772926,775,122,26055,28,12
40,0,69,0.5282729239037345,563,182,30514,48,17
41,0,98,1.0,747,123,23518,33,11
42,0,88,0.9403648120061112,692,112,25054,33,11
43,0,50,0.2965825696065235,594,199,28697,45,18
44,0,13,-1.0,1,0,1,28,19
45,0,51,0.3299999999999379,663,142,26486,38,14
46,0,52,0.3299999999999377,614,113,26985,43,10
47,0,47,0.23275671482591018,762,124,20626,29,12
48,0,83,0.8362795050432861,634,154,28851,41,15
49,0,75,0.6547179062660802,715,149,31408,35,14
50,0,40,0.06782113293295962,570,183,30805,48,17
51,0,20,-0.33285050226505536,878,150,25385,21,14
52,0,27,-0.21583003281652977,717,194,26511,32,18
53,0,56,0.32999999999993723,536,175,28162,49,17
54,0,25,-0.24846009975057842,720,200,28872,33,18
55,0,78,0.725311392943303,846,216,28228,25,19
56,0,58,0.32999999999993757,792,190,27235,21,19
