WorkerID,Entry_date,Ability,Reputation,Like_list_len,Block_list_len,ratings,mid_thres,low_thre,Tasks,
0,0,22,0.361233083,267,11,3990,32,18,61,387
1,0,19,-1,218,11,3455,42,19,1,332
2,0,60,0.220758621,325,0,11165,23,10,45,1492
3,0,100,-0.174461449,310,16,20648,26,20,27,6731
4,0,93,0.219476161,297,0,17849,29,10,45,4174
5,0,13,0.33,310,1,2407,21,12,51,228
6,0,57,-0.622659317,192,11,10341,48,19,16,1337
7,0,3,0.02043152,157,5,533,44,17,35,44
8,0,65,0.052444988,271,9,11861,35,17,36,1615
9,0,21,-0.060971754,241,6,3859,38,16,32,382
10,0,40,0.872695476,185,4,7405,49,15,86,804
11,0,83,0.114056089,217,4,15404,45,14,39,2851
12,0,96,0.823193945,243,3,18629,40,14,84,4685
13,0,50,-0.695729323,316,2,9310,24,12,15,1120
14,0,31,0.00623081,260,10,5667,36,17,34,576
15,0,4,-0.572554645,149,5,732,48,17,17,63
16,0,21,0.436411765,290,1,3910,28,13,65,407
17,0,57,0.590224644,184,6,10461,50,16,71,1329
18,0,2,-0.174815864,171,2,353,30,14,26,33
19,0,8,-0.33,294,6,1472,23,16,21,136
20,0,44,0.33,219,0,8212,44,10,58,977
21,0,89,0.33,201,15,16182,47,20,56,3202
22,0,98,0.290402691,217,1,19618,45,12,49,5370
23,0,53,0.202281879,237,2,9834,41,12,44,1232
24,0,95,1,254,4,18294,38,14,94,4485
25,0,46,0.33,250,11,8387,38,19,54,955
26,0,60,0.05432136,253,9,10941,38,17,36,1453
27,0,18,0.068867809,316,11,3268,21,18,37,296
28,0,40,0.33,315,4,7412,24,14,59,809
29,0,44,0.33,311,3,8152,25,14,51,969
30,0,16,0.33,257,3,2973,35,14,53,286
31,0,57,-0.24393197,223,0,10613,44,10,24,1365
32,0,23,0.73165334,252,1,4252,37,11,79,441
33,0,56,0.33,252,11,10142,38,18,51,1264
34,0,49,0.50827051,186,6,9020,49,16,67,1038
35,0,49,0.33,326,1,9133,21,13,60,1087
36,0,84,0.434317396,326,12,15331,23,19,65,2725
37,0,94,0.33,307,18,17480,27,20,55,4087
38,0,64,0.842309011,275,9,11663,33,17,85,1608
39,0,80,0.261919517,226,1,14910,43,11,47,2579
40,0,86,1,254,3,16015,38,14,94,3078
41,0,66,-1,309,1,12231,26,11,6,1752
42,0,36,-1,181,1,6711,50,12,2,753
43,0,19,0.33,275,6,3491,30,16,55,366
44,0,35,-1,272,3,6481,32,14,10,695
45,0,73,-0.035478357,273,1,13515,34,12,33,2033
46,0,22,0.33,318,1,4083,22,12,57,422
47,0,99,0.900125457,211,1,20246,46,12,87,5985
48,0,14,-1,188,1,2614,47,11,9,250
49,0,83,0.547067208,185,3,15504,50,11,69,2823
50,0,35,0.81189015,297,1,6518,28,11,83,729
51,0,1,-0.511626506,99,3,166,33,17,18,16
52,0,77,-0.108974322,288,12,13942,30,19,30,2271
53,0,24,0.36101134,201,11,4321,46,18,61,401
54,0,98,-0.629211608,224,4,19470,44,14,16,5326
55,0,19,0.819300142,268,3,3515,31,14,84,326
56,0,26,0.199123404,233,11,4700,40,18,44,458
57,0,49,1,250,15,8827,38,20,95,1036
58,0,66,0.33,216,1,12231,45,13,57,1775
59,0,31,0.238176972,302,11,5628,26,18,46,605
60,0,10,0.726248606,172,10,1794,48,19,79,187
61,0,96,0.33,307,16,18110,27,20,57,4526
62,0,43,0.594795087,185,15,7735,49,20,71,891
63,0,85,0.201083066,185,1,15927,50,12,44,3050
64,0,15,0.33,273,9,2742,30,17,58,253
65,0,70,-1,192,11,12632,48,19,10,1862
66,0,6,0.549682107,238,6,1101,33,16,68,99
67,0,54,-1,182,11,9777,50,19,2,1219
68,0,10,-0.687408027,281,10,1794,27,18,15,167
69,0,64,-0.082729263,328,1,11875,22,12,31,1697
70,0,72,1,239,1,13368,41,10,91,2030
71,0,80,0.914702736,262,17,14398,37,20,88,2441
72,0,7,-0.214210526,198,1,1311,43,13,25,112
73,0,96,0.530507979,189,17,18111,49,20,68,4481
74,0,39,0.390042413,206,0,7309,46,10,62,831
75,0,44,0.728371753,206,1,8199,46,12,79,916
76,0,72,-0.11004946,329,3,13344,21,12,30,2037
77,0,49,-0.398106828,268,3,9080,35,14,20,1037
78,0,2,0.354885714,151,7,350,38,20,61,37
79,0,2,0.005561798,117,0,356,47,11,34,29
80,0,35,0.810699398,320,4,6477,23,15,83,660
81,0,78,0.33,242,4,14403,40,15,53,2348
82,0,99,-1,185,2,20247,50,11,8,5914
83,0,27,0.33,179,0,5012,50,10,52,512
84,0,57,-0.694960945,262,15,10242,37,20,15,1265
85,0,9,-0.39451555,292,1,1672,24,11,20,145
86,0,43,1,269,4,7952,34,15,97,901
87,0,6,1,210,4,1105,39,15,91,113
88,0,43,0.068559793,196,15,7735,47,20,37,869
89,0,53,0.11318608,294,11,9598,29,18,39,1211
90,0,15,0.482667387,294,4,2778,26,15,66,281
91,0,32,1,281,11,5812,30,18,91,602
92,0,47,-0.160013947,293,9,8604,29,17,28,1001
93,0,54,1,279,4,9959,31,14,99,1259
94,0,66,-0.841083206,275,16,11826,33,20,13,1703
95,0,60,0.824744257,242,1,11144,40,13,84,1525
96,0,100,-0.111616519,320,1,21503,24,10,30,7125
97,0,6,0.682825688,217,10,1090,38,18,76,90
98,0,26,-0.303457711,233,1,4824,40,12,22,503
99,0,5,0.644994571,227,6,921,34,16,73,78
100,1,38,-0.082148737,189,1,7046,48,11,31,742
101,1,84,0.183948248,303,11,15265,28,19,43,2717
102,1,84,0.00010809,282,11,15265,31,18,34,2767
103,1,50,-0.39757092,303,1,9271,27,13,20,1106
104,1,96,0.506709991,217,2,18696,45,12,67,4755
105,1,75,-0.522364444,239,11,13500,41,19,18,2039
106,1,15,0.33,281,11,2722,29,19,55,258
107,1,54,0.9696401,221,1,9975,44,12,90,1229
108,1,67,0.33,281,11,12061,31,18,52,1639
109,1,83,-0.902642524,303,1,15436,28,13,12,2751
110,1,89,0.821191552,240,11,16382,41,17,84,3278
111,1,10,-0.304117647,252,1,1836,32,12,22,172
112,1,6,-0.216961326,156,10,1086,50,18,25,104
113,1,6,0.106189608,160,6,1097,49,16,39,113
114,1,99,0.610127577,189,5,19988,49,15,72,5794
115,1,53,0.052431861,214,15,9466,45,20,36,1133
116,2,63,0.2613804,275,9,11388,33,17,47,1504
117,2,35,-1,320,1,6469,23,11,5,665
118,2,34,-1,272,1,6305,32,10,9,668
119,2,4,0.707048276,155,9,725,47,20,77,59
120,2,8,0.682558621,290,10,1450,24,18,76,142
121,3,49,-1,316,1,9039,24,12,1,1106
122,3,5,0.33,255,3,912,27,14,54,89
123,3,29,1,255,9,5248,37,17,99,515
124,4,54,0.556994536,300,1,9882,28,11,70,1155
125,4,10,0.695825942,294,3,1804,24,14,77,182
126,4,93,0.915188366,303,15,16882,28,20,88,3575
127,4,89,-0.000637502,263,11,16047,37,19,34,3081
