WorkerID,Entry_date,Ability,Reputation,Like_list_len,Block_list_len,ratings,mid_thres,low_thre,Tasks,
0,0,89,0.280860776,198,12,15335,50,18,30,3127
1,0,100,1,199,15,19639,50,20,56,6555
2,0,92,0.282731732,265,13,15902,32,19,30,3424
3,0,45,1,240,11,7559,37,18,86,810
4,0,62,1,270,1,10753,30,12,64,1383
5,0,96,-1,280,12,17307,29,18,8,4412
6,0,11,1,185,13,1817,49,19,61,164
7,0,9,0.831041257,180,4,1527,49,14,46,135
8,0,9,0.886468647,255,8,1515,28,17,47,134
9,0,28,1,261,0,4835,31,11,66,490
10,0,44,-0.090592801,214,8,7473,44,17,20,835
11,0,58,-1,220,0,10049,43,12,2,1245
12,0,14,0.726851852,207,2,2376,43,13,43,199
13,0,84,1,316,10,14517,21,17,93,2658
14,0,60,1,202,1,10410,49,11,75,1344
15,0,57,1,197,13,9563,50,19,80,1144
16,0,12,-1,277,15,1984,25,20,10,165
17,0,68,1,271,12,11509,30,18,76,1643
18,0,41,0.911240091,249,1,7064,35,11,48,739
19,0,1,1,121,0,193,24,13,71,11
20,0,48,-1,295,4,8244,25,14,10,914
21,0,3,0.902573529,200,2,544,29,14,48,48
22,0,74,1,203,12,12572,48,18,82,1852
23,0,44,1,203,4,7528,47,14,86,807
24,0,42,1,199,0,7248,49,10,70,796
25,0,16,1,290,0,2751,23,10,98,232
26,0,21,-0.727019499,274,5,3590,27,16,13,315
27,0,68,-0.096162065,255,4,11699,34,15,20,1621
28,0,53,-0.728630615,240,1,9172,38,13,13,1123
29,0,17,-1,274,0,2923,27,11,2,276
30,0,38,1,195,9,6449,50,17,53,675
31,0,3,1,200,13,535,29,20,97,48
32,0,11,-1,249,13,1817,30,19,3,150
33,0,27,-0.53460877,276,0,4652,28,11,15,454
34,0,9,1,279,15,1498,22,20,79,138
35,0,93,0.82629192,246,0,16758,37,11,46,3900
36,0,37,0.94015287,212,15,6149,45,20,49,636
37,0,11,0.458401305,198,8,1839,45,17,35,162
38,0,44,0.943411159,274,0,7581,29,11,49,889
39,0,76,0.281752928,242,1,13235,38,11,30,2110
40,0,5,-0.433638444,172,0,874,46,13,16,66
41,0,28,0.242502142,257,15,4668,32,20,28,460
42,0,1,-1,87,4,191,42,18,3,16
43,0,63,1,297,16,10533,25,20,93,1357
44,0,87,1,280,8,15087,29,17,64,2873
45,0,41,-0.378474697,267,5,7015,30,16,17,723
