RequestorID,Entry_date,Behavior,Reputation,Like_list_len,Block_list_len,ratings,mid_thres,low_thre
1,0,93,1.0,37,16,1102,33,14
2,0,59,1.0,57,20,1131,30,15
3,0,32,0.3780397936624908,46,23,1357,41,19
4,0,83,1.0,53,19,1394,23,16
5,0,86,1.0,55,24,1391,35,19
6,0,28,0.1697054698457223,50,14,1426,39,11
7,0,65,1.0,60,24,1069,28,19
8,0,15,-0.03196066379840197,57,19,1627,33,14
9,0,40,0.5169376693766937,59,20,1476,23,15
10,0,27,0.1517412935323383,53,22,1206,28,18
11,0,65,1.0,61,12,997,21,10
12,0,87,1.0,44,16,1276,47,13
13,0,45,0.8452497551420176,45,15,1021,43,11
14,0,24,0.16363636363636364,44,25,1650,48,20
15,0,64,1.0,54,16,1724,29,13
16,0,82,1.0,53,21,1122,23,18
17,0,29,0.18480243161094226,57,15,1645,26,11
18,0,77,1.0,57,23,1833,25,20
19,0,85,1.0,45,21,1269,41,18
20,0,57,1.0,49,15,1562,43,12
21,0,1,-1.0,0,1,1,23,18
22,0,87,1.0,45,18,860,37,16
23,0,46,0.8044794188861986,49,24,1652,40,19
24,0,98,1.0,55,15,1774,33,12
25,0,97,1.0,40,11,1115,49,10
26,0,74,1.0,47,13,851,29,12
27,0,54,1.0,61,20,2016,24,15
28,0,37,0.576797385620915,59,16,1224,22,13
29,0,13,-0.05394524959742351,44,19,1242,47,14
30,0,80,1.0,59,22,1560,22,18
31,0,35,0.3192868719611021,43,22,1234,50,17
32,0,73,1.0,55,20,1371,39,15
33,0,39,0.5950413223140496,57,22,1210,25,18
34,0,41,0.6853754940711463,58,22,1265,29,17
35,0,64,1.0,56,12,1048,35,10
36,0,97,1.0,44,16,1303,44,13
37,0,77,1.0,55,20,1417,31,16
38,0,83,1.0,61,15,1359,24,11
39,0,60,1.0,59,19,1395,25,14
40,0,75,1.0,55,19,1569,32,14
41,0,75,1.0,43,24,1061,49,19
42,0,34,0.3859922178988327,43,22,1285,48,17
43,0,40,0.7208398133748056,51,21,1286,30,18
44,0,46,0.7420269312544295,56,19,1411,28,14
45,0,98,1.0,51,20,1069,38,16
46,0,92,1.0,51,22,1360,31,19
47,0,87,1.0,52,20,1366,34,15
48,0,23,0.1362549800796813,39,20,1255,46,17
49,0,34,0.3475409836065574,61,19,1220,24,14
50,0,75,1.0,50,12,1275,26,10
51,0,27,0.18474195961106957,48,22,1337,42,18
52,0,76,1.0,50,18,1124,21,16
53,0,46,0.859704641350211,52,15,948,39,12
54,0,96,1.0,60,15,1546,25,12
55,0,91,1.0,57,15,1157,23,11
56,0,2,-1.0,0,0,1,45,12
57,0,4,-1.0,0,0,1,45,15
58,0,7,-1.0,0,0,1,22,16
59,0,62,1.0,62,25,1258,24,20
60,0,26,0.22472924187725632,39,14,1108,50,12
61,0,73,1.0,59,16,1065,27,13
62,0,96,1.0,48,12,1481,41,10
63,0,95,1.0,42,16,1574,49,13
64,0,77,1.0,60,12,1244,21,10
65,0,34,0.39901477832512317,62,20,1015,21,16
66,0,52,1.0,51,14,1484,24,12
67,0,99,1.0,38,10,1524,50,10
68,0,46,0.8910060975609756,44,15,1312,44,12
69,0,11,-1.0,0,0,1,32,12
70,0,80,1.0,47,19,1697,30,15
71,0,52,1.0,47,15,969,28,13
72,0,38,0.5099630996309963,44,22,1355,47,17
73,0,19,-0.016814159292035398,46,22,1130,41,18
74,0,20,-0.004912280701754386,43,25,1425,47,20
75,0,72,1.0,43,18,1388,38,14
76,0,11,-1.0,0,1,1,31,19
77,0,46,0.7340496977837475,48,25,1489,42,20
78,0,87,1.0,53,21,1366,25,17
79,0,86,1.0,44,15,1122,44,11
80,0,31,0.35755813953488375,49,19,1032,36,16
81,0,54,1.0,41,19,850,49,16
82,0,58,1.0,51,22,1113,40,17
83,0,28,0.30442978322337416,46,19,1061,30,17
84,0,27,0.3021459227467811,52,19,1165,27,15
85,0,37,0.4759976865240023,49,20,1729,41,16
86,0,56,1.0,54,22,1497,38,18
87,0,56,1.0,50,21,1647,32,17
88,0,44,0.7438075017692852,62,12,1413,21,10
89,0,2,-1.0,0,1,1,39,18
90,0,21,0.0,58,16,1083,23,13
91,0,46,0.7636363636363637,54,15,1430,33,12
92,0,37,0.5882352941176471,46,12,1411,43,10
93,0,8,-1.0,0,0,1,23,15
94,0,21,0.0,52,15,1186,30,11
95,0,61,1.0,53,16,1328,33,13
96,0,15,-0.0405616224648986,50,24,1282,42,19
97,0,57,1.0,51,19,1525,33,15
98,0,1,-1.0,0,0,1,46,10
99,0,6,-1.0,0,0,1,42,14
100,0,45,0.8742203742203742,41,18,962,42,16
101,1,37,0.44363636363636366,51,18,825,32,16
102,1,65,1.0,61,20,1711,23,16
103,1,79,1.0,43,12,1517,46,10
104,1,88,1.0,50,18,1276,37,14
105,2,26,0.16227180527383367,52,21,1479,23,20
106,2,75,1.0,54,15,1381,24,12
107,2,40,0.7140096618357488,47,19,1035,40,18
108,3,82,1.0,53,12,1482,39,10
109,3,40,0.744228432563791,42,21,1646,50,18
110,3,11,-1.0,1,0,1,28,19
111,3,70,1.0,55,15,1356,37,11
112,4,49,0.9643387815750372,61,20,1346,25,15
113,5,30,0.2589453860640301,35,13,1062,41,13
114,5,31,0.11391304347826087,61,18,1150,26,14
115,5,45,0.9106796116504854,59,16,1030,29,13
116,5,53,1.0,54,15,1004,33,11
117,6,36,0.37577426015141085,53,16,1453,40,13
118,7,17,-0.026851098454027666,54,21,1229,30,17
119,8,34,0.365764447695684,64,24,1367,22,20
120,9,8,-1.0,1,0,1,41,16
121,9,30,0.1707941929974381,44,18,1171,28,17
