RequestorID,Entry_date,Behavior,Reputation,Like_list_len,Block_list_len,ratings,mid_thres,low_thre
1,0,55,1.0,509,125,23641,48,12
2,0,24,0.09003900752000643,704,190,24867,34,16
3,0,87,1.0,524,115,26467,48,10
4,0,97,1.0,780,180,26213,26,15
5,0,71,1.0,554,125,27166,46,11
6,0,2,-1.0,1,0,1,48,17
7,0,30,0.25930675049636004,578,155,24176,46,13
8,0,52,1.0,720,180,27852,33,15
9,0,8,-1.0,0,0,1,26,12
10,0,46,0.811894841852004,612,140,34082,42,12
11,0,40,0.6041726207487854,563,228,27992,47,18
12,0,37,0.5145564225296702,865,133,30502,21,11
13,0,8,-1.0,0,1,1,40,20
14,0,87,1.0,835,208,28606,21,17
15,0,75,1.0,819,153,22448,24,13
16,0,90,1.0,759,179,22134,28,15
17,0,15,-1.0,1,0,1,33,14
18,0,76,1.0,520,213,27497,50,17
19,0,24,0.08708697584827382,540,135,26996,48,12
20,0,38,0.5477928042868079,844,187,19595,21,15
21,0,100,1.0,675,169,30557,38,14
22,0,74,1.0,790,122,23354,23,11
23,0,8,-1.0,1,0,1,28,12
24,0,76,1.0,535,139,27291,49,12
25,0,8,-1.0,1,0,1,48,18
26,0,51,1.0,719,132,27782,30,12
27,0,82,1.0,701,117,22784,35,10
28,0,31,0.29038812190674657,774,194,19195,28,16
29,0,52,1.0,543,184,25645,48,15
30,0,56,1.0,500,209,18752,47,19
31,0,90,1.0,639,133,26876,38,12
32,0,76,1.0,615,244,28367,42,20
33,0,24,0.09189930957588233,631,137,23319,40,12
34,0,6,-1.0,0,0,1,37,14
35,0,90,1.0,687,185,25295,36,15
36,0,56,1.0,674,188,25354,38,15
37,0,84,1.0,757,203,27927,26,17
38,0,59,1.0,786,213,21176,27,17
39,0,18,-1.0,1,0,1,43,20
40,0,52,1.0,706,207,26933,33,17
41,0,21,0.0,504,162,22283,50,14
42,0,4,-1.0,0,1,1,45,14
43,0,23,0.0523029165463471,723,131,27704,33,11
44,0,46,0.8140810840667231,628,203,27157,39,17
45,0,75,1.0,766,102,17918,22,10
46,0,100,1.0,516,238,23663,50,20
47,0,48,0.8996517766877598,583,234,26707,45,19
48,0,7,-1.0,0,0,1,43,13
49,0,23,0.052758047987561396,777,181,28299,27,15
50,0,87,1.0,618,120,29677,42,10
51,0,57,1.0,770,221,24734,28,18
52,0,6,-1.0,1,0,1,39,20
53,0,31,0.28445152423788106,572,154,32016,46,13
54,0,83,1.0,643,240,26954,39,20
55,0,71,1.0,693,239,25742,34,20
56,0,62,1.0,545,155,28331,48,13
57,0,60,1.0,584,219,28106,42,19
58,0,21,0.0,830,139,25311,23,12
59,0,43,0.7172466324567031,526,165,24944,49,14
60,0,18,-0.016784251251706874,680,121,17576,37,10
61,0,30,0.25269651903905865,776,211,24476,28,17
62,0,33,0.3527648796960743,611,198,23690,43,16
63,0,4,-1.0,1,0,1,28,14
64,0,16,-0.04480596201036081,634,214,11003,40,17
65,0,47,0.8619041176205294,518,123,22173,49,11
66,0,2,-1.0,0,0,1,50,20
67,0,59,1.0,557,224,24493,46,19
68,0,35,0.4310643154290763,811,127,27163,23,11
69,0,10,-1.0,1,0,1,33,17
70,0,17,-1.0,1,0,1,46,15
71,0,51,1.0,698,182,27436,35,15
72,0,56,1.0,571,215,25011,46,17
