RequestorID,Entry_date,Behavior,Reputation,Like_list_len,Block_list_len,ratings,mid_thres,low_thre
1,0,77,1.0,879,125,27112,21,12
2,0,51,1.0,822,187,27092,25,17
3,0,63,1.0,847,139,25505,26,13
4,0,67,1.0,831,162,28812,26,15
5,0,36,0.5032398118606717,841,197,30403,27,17
6,0,76,1.0,777,123,25705,29,12
7,0,72,1.0,766,164,30796,33,15
8,0,66,1.0,691,164,29484,40,15
9,0,17,-0.022317431896661976,675,138,15638,29,15
10,0,21,0.0,746,183,22539,27,17
11,0,88,1.0,786,149,27499,32,14
12,0,15,-0.14803625377643503,472,155,3641,49,16
13,0,23,0.06797010590443807,795,123,28233,30,12
14,0,4,-1.0,1,0,1,36,13
15,0,7,-1.0,1,0,1,43,19
16,0,99,1.0,635,137,27159,41,13
17,0,9,-1.0,1,0,1,43,10
18,0,78,1.0,678,105,24442,38,10
19,0,12,-1.0,1,0,1,40,14
20,0,77,1.0,774,226,22094,32,20
21,0,3,-1.0,1,0,1,28,15
22,0,6,-1.0,0,0,1,38,17
23,0,73,1.0,769,117,20815,25,12
24,0,28,0.231951939721006,890,194,29463,21,17
25,0,28,0.24068511535757653,600,106,15647,44,10
26,0,38,0.5823997585907736,554,227,26511,50,20
27,0,2,-1.0,0,0,1,40,16
28,0,18,-0.015460295151089248,842,163,19922,25,15
29,0,78,1.0,745,215,29722,31,20
30,0,2,-1.0,1,0,1,27,15
31,0,92,1.0,845,178,28038,25,16
32,0,61,1.0,786,155,25454,26,15
33,0,17,-0.028895102889510287,664,103,13947,39,10
34,0,43,0.7167693036475604,616,214,21110,41,20
35,0,86,1.0,566,197,25674,46,18
36,0,32,0.39115799701565046,877,205,28817,22,18
37,0,21,0.0,729,213,31914,35,19
38,0,10,-1.0,1,0,1,21,17
39,0,66,1.0,682,139,29203,38,13
40,0,21,0.0,581,116,25242,47,11
41,0,39,0.6182646212847556,591,177,20860,46,16
42,0,84,1.0,799,135,27849,27,13
43,0,26,0.17041668380568467,563,179,24311,49,16
44,0,5,-1.0,0,0,1,37,11
45,0,71,1.0,722,123,25994,36,12
46,0,71,1.0,675,139,27251,40,13
47,0,44,0.741019955654102,841,192,24805,23,17
48,0,46,0.8232012140689162,761,112,22404,28,11
49,0,71,1.0,705,139,25623,38,13
50,0,56,1.0,807,202,16029,22,19
51,0,19,-1.0,1,0,1,49,12
52,0,54,1.0,551,114,26787,48,11
53,0,9,-1.0,0,0,1,36,19
54,0,79,1.0,861,125,26644,23,12
55,0,13,-1.0,0,1,1,40,15
