RequestorID,Entry_date,Behavior,Reputation,Like_list_len,Block_list_len,ratings,mid_thres,low_thre
1,0,62,1.0,63,8,26784,43,12
2,0,40,0.6619155986744919,57,10,25047,49,17
3,0,88,1.0,85,9,26402,22,15
4,0,24,0.14916394779771616,82,8,29424,24,12
5,0,4,-1.0,1,0,1,36,11
6,0,92,1.0,60,9,25994,45,15
7,0,84,1.0,80,8,29077,27,12
8,0,53,1.0,80,12,25042,26,20
9,0,14,-1.0,1,0,1,31,14
10,0,69,1.0,75,11,21009,30,19
11,0,41,0.7816674524595316,77,9,25452,28,15
12,0,11,-1.0,1,0,1,50,14
13,0,65,1.0,69,9,21114,39,14
14,0,3,-1.0,1,0,1,44,15
15,0,53,1.0,74,11,32440,31,19
16,0,97,1.0,71,9,26978,36,15
17,0,40,0.7685203001731769,80,7,20788,25,11
18,0,70,1.0,57,7,27315,49,11
19,0,26,0.21533824514400535,57,9,23888,46,14
20,0,59,1.0,87,10,26939,21,17
21,0,23,0.076827932289642,85,9,28297,23,13
22,0,55,1.0,63,6,32034,43,10
23,0,28,0.24345434981867453,74,6,25093,32,10
24,0,11,-1.0,1,0,1,46,17
25,0,91,1.0,73,10,30016,33,17
26,0,28,0.2037824430861901,74,9,22578,31,14
27,0,54,1.0,80,11,32814,25,19
28,0,6,-1.0,1,0,1,23,13
29,0,92,1.0,60,6,27019,45,10
30,0,51,1.0,87,10,32504,21,18
31,0,80,1.0,69,9,28002,38,13
32,0,87,1.0,69,9,25581,38,13
33,0,5,-1.0,1,0,1,39,18
34,0,83,1.0,63,10,27864,43,16
35,0,90,1.0,74,9,24742,32,14
36,0,23,0.09038249951459452,80,9,30902,27,14
37,0,36,0.5407788655341204,77,9,27784,28,14
38,0,56,1.0,76,9,22230,29,14
39,0,5,-1.0,1,0,1,26,14
40,0,22,0.06555109326193663,80,9,22410,25,15
41,0,63,1.0,70,9,26168,37,13
42,0,100,1.0,80,8,27475,27,12
43,0,80,1.0,63,9,28394,43,14
44,0,48,0.959168118466899,77,9,27552,28,14
45,0,56,1.0,80,9,25069,27,15
46,0,48,0.9097316448062717,57,7,26532,50,11
47,0,91,1.0,63,6,35309,42,10
48,0,66,1.0,73,12,30656,34,20
49,0,29,0.2897827941465975,85,12,30478,23,20
50,0,51,1.0,69,9,29367,38,15
51,0,15,-1.0,1,0,1,38,10
52,0,71,1.0,80,8,31642,26,12
53,0,43,0.756587161837682,73,8,31235,35,12
54,0,73,1.0,60,10,24919,45,16
55,0,22,0.06602265383176298,57,12,29399,50,20
56,0,69,1.0,77,8,23536,28,12
57,0,6,-1.0,1,0,1,29,13
58,0,89,1.0,67,7,27996,40,11
59,0,20,-1.0,1,0,1,46,12
60,0,80,1.0,74,10,30836,32,18
61,0,27,0.22972170371627354,85,9,23572,22,14
62,0,25,0.1030299055613851,73,9,30496,35,13
63,0,70,1.0,73,7,28680,35,11
64,0,87,1.0,74,9,25963,31,13
65,0,40,0.6945912722802704,80,6,32540,27,10
